date,book,module_slug,word_count,verify_flag_count,pantry_notes_found
2026-06-03,quantum-mechanics-vol5,02-complex-numbers-and-the-complex-exponential,1616,3,yes
2026-06-03,quantum-mechanics-vol5,03-probability-normalization-and-expectation,1808,2,yes
2026-06-03,quantum-mechanics-vol5,04-ordinary-differential-equations,2378,4,yes
2026-06-03,quantum-mechanics-vol5,05-series-expansions-and-approximation,1965,8,yes
2026-06-03,quantum-mechanics-vol5,06-fourier-series-and-the-wave-equation,2367,6,yes
2026-06-03,quantum-mechanics-vol5,07-the-fourier-transform,3021,9,yes
2026-06-03,quantum-mechanics-vol5,08-vectors-vector-spaces-and-inner-products,1961,4,yes
2026-06-03,quantum-mechanics-vol5,09-eigenvalues-and-diagonalization,2759,5,yes
2026-06-03,quantum-mechanics-vol5,10-operators-and-dirac-notation,3086,12,yes
2026-06-03,quantum-mechanics-vol5,11-multivariable-calculus-and-separation-of-variables,2308,2,yes
2026-06-03,quantum-mechanics-vol5,12-special-functions,3283,1,yes
2026-06-03,quantum-mechanics-vol5,13-matrices-determinants-and-linear-systems,3194,4,yes
2026-06-03,quantum-mechanics-vol5,14-logarithms-exponentials-and-scales,1954,4,yes
2026-06-03,quantum-mechanics-vol5,15-combinatorics-and-multiplicity,2196,4,yes
2026-06-03,quantum-mechanics-vol5,16-calculus-of-variations,2308,6,yes
2026-06-03,quantum-mechanics-vol5,17-tensor-products-and-composite-systems,2311,2,yes
2026-06-03,quantum-mechanics-vol5,18-units-dimensions-and-estimation,1997,6,yes
2026-06-03,quantum-mechanics-vol5,19-trigonometry-waves-and-the-harmonic-model,2189,8,yes
